date,number
3/1/2020,62
3/2/2020,99
3/3/2020,97
3/4/2020,99
3/5/2020,106
3/6/2020,113
3/7/2020,89
3/8/2020,65
3/9/2020,98
3/10/2020,98
3/11/2020,102
3/12/2020,101
3/13/2020,97
3/14/2020,58
3/15/2020,31
3/16/2020,63
3/17/2020,38
3/18/2020,31
3/19/2020,31
3/20/2020,37
3/21/2020,2
3/22/2020,0
3/23/2020,0
3/24/2020,3
3/25/2020,1
3/26/2020,8
3/27/2020,12
3/28/2020,0
3/29/2020,0
3/30/2020,1
3/31/2020,1
4/1/2020,2
4/2/2020,3
4/3/2020,6
4/4/2020,0
4/5/2020,0
4/6/2020,3
4/7/2020,3
4/8/2020,3
4/9/2020,1
4/10/2020,2
4/11/2020,1
4/12/2020,0
4/13/2020,0
4/14/2020,2
4/15/2020,3
4/16/2020,2
4/17/2020,7
4/18/2020,0
4/19/2020,0
4/21/2020,7
4/22/2020,17
4/23/2020,16
4/24/2020,14
4/25/2020,12
4/26/2020,0
4/27/2020,12
4/28/2020,21
4/29/2020,19
4/30/2020,15
5/1/2020,36
5/2/2020,32
5/3/2020,17
5/4/2020,19
5/5/2020,25
5/6/2020,25
5/7/2020,24
5/8/2020,26
5/9/2020,12
5/10/2020,16
5/11/2020,8
5/12/2020,24
5/13/2020,20
5/14/2020,17
5/15/2020,39
5/16/2020,40
5/17/2020,17
5/18/2020,35
5/19/2020,27
5/20/2020,48
5/21/2020,58
5/22/2020,60
5/23/2020,37
5/24/2020,32
5/25/2020,24
5/26/2020,53
5/27/2020,57
5/28/2020,44
5/30/2020,39
5/31/2020,12
6/1/2020,57
6/2/2020,46
6/3/2020,65
6/4/2020,62
6/5/2020,71
6/6/2020,61
6/7/2020,40
6/8/2020,70
6/9/2020,74
6/10/2020,63
6/11/2020,70
6/12/2020,69
6/13/2020,67
6/14/2020,33
6/15/2020,53
6/16/2020,62
6/17/2020,78
6/18/2020,75
6/19/2020,80
6/20/2020,61
6/21/2020,47
6/22/2020,57
6/23/2020,72
6/24/2020,70
6/25/2020,82
6/26/2020,87
6/27/2020,67
6/28/2020,49
6/29/2020,63
6/30/2020,80
7/1/2020,81
7/2/2020,87
7/3/2020,84
7/4/2020,58
7/5/2020,50
7/6/2020,68
7/7/2020,77
7/8/2020,85
7/9/2020,85
7/10/2020,82
7/11/2020,76
7/12/2020,73
7/13/2020,81
7/14/2020,102
7/15/2020,89
7/16/2020,81
7/17/2020,111
7/18/2020,76
7/19/2020,47
7/20/2020,65
7/21/2020,67
7/22/2020,66
7/23/2020,64
7/24/2020,81
7/25/2020,61
7/26/2020,41
7/27/2020,62
